x,y,z,color
-0.41345215,-0.1699524,0.58654785,#6B8E23'
-0.41793823,-0.17544556,0.5917969,#6B8E23'
-0.42245483,-0.18095398,0.5970459,#6B8E23'
-0.4248352,-0.1875,0.60583496,#6B8E23'
-0.42514038,-0.19509888,0.6184082,#6B8E23'
-0.42544556,-0.20269775,0.6308594,#6B8E23'
-0.42575073,-0.21029663,0.64331055,#6B8E23'
-0.4260559,-0.21789551,0.6558838,#6B8E23'
-0.42700195,-0.22445679,0.6697998,#6B8E23'
-0.42858887,-0.22994995,0.68518066,#6B8E23'
-0.4302063,-0.23544312,0.7005615,#6B8E23'
-0.4317932,-0.24095154,0.7159424,#6B8E23'
-0.43341064,-0.2464447,0.7314453,#6B8E23'
-0.4343567,-0.25169373,0.7491455,#6B8E23'
-0.43466187,-0.2566986,0.76904297,#6B8E23'
-0.43493652,-0.2617035,0.7890625,#6B8E23'
-0.4352417,-0.26669312,0.80908203,#6B8E23'
-0.43554688,-0.271698,0.82910156,#6B8E23'
-0.43466187,-0.27545166,0.8491211,#6B8E23'
-0.43255615,-0.2779541,0.8691406,#6B8E23'
-0.43045044,-0.28045654,0.88916016,#6B8E23'
-0.42834473,-0.28294373,0.9090576,#6B8E23'
-0.42559814,-0.28474426,0.9283447,#6B8E23'
-0.4222107,-0.2858429,0.9466553,#6B8E23'
-0.41879272,-0.2869568,0.9650879,#6B8E23'
-0.41540527,-0.28805542,0.9835205,#6B8E23'
-0.4119873,-0.28915405,1.0019531,#6B8E23'
-0.40838623,-0.29034424,1.0198975,#6B8E23'
-0.40460205,-0.2916565,1.0375977,#6B8E23'
-0.40078735,-0.2929535,1.0552979,#6B8E23'
-0.39700317,-0.2942505,1.072998,#6B8E23'
-0.39318848,-0.29580688,1.088501,#6B8E23'
-0.3894043,-0.29760742,1.1018066,#6B8E23'
-0.3855896,-0.2993927,1.1151123,#6B8E23'
-0.38180542,-0.30119324,1.128418,#6B8E23'
-0.37799072,-0.30299377,1.1417236,#6B8E23'
-0.37420654,-0.3047943,1.1550293,#6B8E23'
-0.3710022,-0.3070984,1.1663818,#6B8E23'
-0.3684082,-0.309906,1.1757812,#6B8E23'
-0.3658142,-0.31269836,1.1851807,#6B8E23'
-0.3631897,-0.31550598,1.1945801,#6B8E23'
-0.3623352,-0.3191986,1.2020264,#6B8E23'
-0.36325073,-0.32380676,1.2073975,#6B8E23'
-0.36413574,-0.32839966,1.2127686,#6B8E23'
-0.36505127,-0.33299255,1.2181396,#6B8E23'
-0.36593628,-0.3376007,1.2236328,#6B8E23'
-0.3668518,-0.3421936,1.2290039,#6B8E23'
-0.36889648,-0.3475952,1.2337646,#6B8E23'
-0.37210083,-0.35380554,1.2380371,#6B8E23'
-0.37530518,-0.3600006,1.2421875,#6B8E23'
-0.37850952,-0.36619568,1.2463379,#6B8E23'
-0.38171387,-0.372406,1.2506104,#6B8E23'
-0.3880005,-0.3789978,1.2550049,#6B8E23'
-0.3973999,-0.3860016,1.2593994,#6B8E23'
-0.40679932,-0.39300537,1.263916,#6B8E23'
-0.41619873,-0.3999939,1.2684326,#6B8E23'
-0.42559814,-0.40699768,1.2729492,#6B8E23'
-0.43655396,-0.41325378,1.2799072,#6B8E23'
-0.44903564,-0.41874695,1.2894287,#6B8E23'
-0.46154785,-0.42425537,1.2989502,#6B8E23'
-0.47406006,-0.42974854,1.3084717,#6B8E23'
-0.48623657,-0.43460083,1.3200684,#6B8E23'
-0.49813843,-0.438797,1.3337402,#6B8E23'
-0.5100403,-0.44299316,1.3474121,#6B8E23'
-0.52194214,-0.4472046,1.361206,#6B8E23'
-0.533844,-0.45140076,1.3748779,#6B8E23'
-0.5456848,-0.45480347,1.3892822,#6B8E23'
-0.5574951,-0.45739746,1.4042969,#6B8E23'
