x,y,z,color
-0.92526245,-0.54460144,1.8581543,0
-0.9267578,-0.5496063,1.8765869,0
-0.927063,-0.55345154,1.8952637,0
-0.92614746,-0.55615234,1.9143066,0
-0.92526245,-0.55885315,1.9333496,0
-0.9243469,-0.56155396,1.9522705,0
-0.9232483,-0.5633545,1.9718018,0
-0.92193604,-0.56425476,1.9918213,0
-0.9206543,-0.565155,2.0118408,0
-0.91934204,-0.5660553,2.0318604,0
-0.9180603,-0.56695557,2.0517578,0
-0.91674805,-0.5676575,2.0700684,0
-0.9154358,-0.56814575,2.08667,0
-0.91415405,-0.5686493,2.1032715,0
-0.9128418,-0.56915283,2.119873,0
-0.9107971,-0.5691986,2.1345215,0
-0.9079895,-0.5688019,2.1472168,0
-0.9052124,-0.56840515,2.159912,0
-0.9024048,-0.56799316,2.1726074,0
-0.89959717,-0.56759644,2.1853027,0
-0.8976135,-0.56799316,2.1964111,0
-0.8963928,-0.5691986,2.2058105,0
-0.89520264,-0.57040405,2.21521,0
-0.894989,-0.57225037,2.2227783,0
-0.895813,-0.5747528,2.2286377,0
-0.89660645,-0.57725525,2.234375,0
-0.8973999,-0.57974243,2.2402344,0
-0.89819336,-0.5822449,2.2459717,0
-0.9002075,-0.5858002,2.251587,0
-0.90341187,-0.59039307,2.256836,0
-0.9065857,-0.5950012,2.262207,0
-0.90979004,-0.5995941,2.267456,0
-0.9129944,-0.6042023,2.272705,0
-0.91830444,-0.60964966,2.2780762,0
-0.9256897,-0.61595154,2.2834473,0
-0.93310547,-0.6222534,2.2889404,0
-0.9404907,-0.6285553,2.2943115,0
-0.9479065,-0.6348572,2.2996826,0
-0.95529175,-0.6411438,2.3050537,0
-0.96398926,-0.6468048,2.312378,0
-0.973999,-0.65179443,2.3214111,0
-0.9840088,-0.6567993,2.3305664,0
-0.99398804,-0.6618042,2.3395996,0
-1.0039978,-0.6667938,2.348755,0
-1.0149536,-0.6713562,2.3601074,0
-1.0268555,-0.67544556,2.3735352,0
-1.0387573,-0.6795502,2.387085,0
-1.0506592,-0.6836548,2.4005127,0
-1.0625916,-0.6871033,2.4143066,0
-1.074585,-0.68989563,2.4284668,0
-1.0866089,-0.69270325,2.442505,0
-1.0986023,-0.6954956,2.456665,0
-1.1105957,-0.6983032,2.4707031,0
-1.1224976,-0.7006531,2.484253,0
-1.1343079,-0.70254517,2.4969482,0
-1.1460876,-0.7044525,2.5097656,0
-1.157898,-0.7063446,2.522583,0
-1.1697083,-0.70825195,2.5354004,0
-1.1818848,-0.7098999,2.5482178,0
-1.1944885,-0.7113037,2.5611572,0
-1.2070923,-0.71269226,2.5740967,0
-1.219696,-0.71409607,2.586914,0
-1.2322998,-0.7154999,2.5998535,0
-1.2449036,-0.7169037,2.612793,0
-1.2575378,-0.7181549,2.6247559,0
-1.2702637,-0.71925354,2.6357422,0
-1.282959,-0.7203522,2.6467285,0
-1.2956543,-0.7214508,2.6577148,0
-1.3067017,-0.7223511,2.666626,0
-1.3161011,-0.723053,2.673584,0
-1.3255005,-0.7237549,2.68042,0
-1.3348999,-0.7244568,2.687378,0
-1.3429871,-0.7250519,2.6936035,0
-1.3497925,-0.7255554,2.6990967,0
-1.3565979,-0.7260437,2.7045898,0
-1.3634033,-0.72654724,2.710083,0
-1.3699951,-0.72839355,2.7145996,0
-1.3764038,-0.7315979,2.7181396,0
-1.3827515,-0.73739624,2.723877,0
-1.3890381,-0.74580383,2.7315674,0
-1.3953552,-0.75419617,2.7392578,0
-1.4016418,-0.76260376,2.7469482,0
